quarter,n_claims,avg_severity,total_paid,year,quarter_dt,deflator,avg_severity_real,total_paid_real
1988Q1,1301,6021.626425826288,7834135.98,1988,1988-01-01,2.721048182586644,16385.13564221033,21317061.47051564
1988Q2,4707,4398.465729764182,20703578.19,1988,1988-04-01,2.721048182586644,11968.437180144463,56335433.80693999
1988Q3,3980,3977.1115201005023,15828903.85,1988,1988-07-01,2.721048182586644,10821.912073713878,43071210.053381234
1988Q4,1737,3831.839643062752,6655905.46,1988,1988-10-01,2.721048182586644,10426.620296719357,18111039.45540152
1989Q1,2459,7153.9454575030495,17591551.88,1989,1989-01-01,2.5959677419354836,18571.411635243803,45667101.21106451
1989Q2,13861,10418.776670514391,144414663.43,1989,1989-04-01,2.5959677419354836,27046.80814708534,374895807.72674996
1989Q3,25223,17449.710713237917,440134053.32,1989,1989-07-01,2.5959677419354836,45298.88611767165,1142573804.5460322
1989Q4,7081,8405.194468295438,59517182.03,1989,1989-10-01,2.5959677419354836,21819.613704389525,154504684.64078224
1990Q1,4328,10510.967444547136,45491467.1,1990,1990-01-01,2.462892119357307,25887.37888599635,112040575.8185922
1990Q2,8253,8854.650993578094,73077434.65,1990,1990-04-01,2.462892119357307,21808.050151742835,179981837.9023336
1990Q3,1719,4805.330779522978,8260363.61,1990,1990-07-01,2.462892119357307,11835.011307792247,20344384.438094873
1990Q4,4966,8269.744399919451,41067550.69,1990,1990-10-01,2.462892119357307,20367.488311660836,101144946.95570771
1991Q1,3446,5492.898694138131,18928528.9,1991,1991-01-01,2.3634361233480177,12982.115195617213,44736368.96409691
1991Q2,11681,8317.02828439346,97151207.39,1991,1991-04-01,2.3634361233480177,19656.765086242693,229610672.97240087
1991Q3,5411,11109.970722602107,60116051.58,1991,1991-07-01,2.3634361233480177,26257.706135136697,142080447.89722466
1991Q4,16061,11051.480762094516,177497832.52,1991,1991-10-01,2.3634361233480177,26119.468849619858,419504789.19374454
1992Q1,9627,10459.536178456425,100693954.79,1992,1992-01-01,2.2943692088382037,23998.037746579637,231029109.38632217
1992Q2,4105,7300.854236297198,29970006.64,1992,1992-04-01,2.2943692088382037,16750.85515797625,68762260.42349252
1992Q3,15193,14427.418963996575,219195776.32,1992,1992-07-01,2.2943692088382037,33101.82583400212,502916039.89599425
1992Q4,32626,11045.344710353706,360365416.52,1992,1992-10-01,2.2943692088382037,25342.09880443947,826811315.5936421
1993Q1,20378,13355.92925802336,272167126.42,1993,1993-01-01,2.2276816608996537,29752.758672371758,606301716.2255917
1993Q2,7536,8270.389936305733,62325658.56,1993,1993-04-01,2.2276816608996537,18423.795989597336,138841726.57760552
1993Q3,15927,19442.20544546996,309656006.13,1993,1993-07-01,2.2276816608996537,43311.04451831681,689815006.0432317
1993Q4,2138,7015.227530402245,14998556.46,1993,1993-10-01,2.2276816608996537,15627.693716515449,33412009.16591003
1994Q1,6446,7014.088475023271,45212814.31,1994,1994-01-01,2.172064777327935,15235.054521659857,98205161.44661944
1994Q2,4781,9874.14115038695,47208268.84,1994,1994-04-01,2.172064777327935,21447.27419911983,102539417.9459919
1994Q3,4056,15662.502946252464,63527111.95,1994,1994-07-01,2.172064777327935,34019.970974349984,137985002.27196357
1994Q4,13349,19113.64653981572,255148067.66,1994,1994-10-01,2.172064777327935,41516.07841542969,554198130.7675709
1995Q1,9399,13429.86070858602,126227260.8,1995,1995-01-01,2.1122047244094486,28366.615236836216,266617816.6110236
1995Q2,46495,14563.530625443596,677131356.43,1995,1995-04-01,2.1122047244094486,30761.158191143655,1430240050.0972242
1995Q3,5375,8552.726444651164,45970904.64,1995,1995-07-01,2.1122047244094486,18065.109202973814,97099961.96598424
1995Q4,18313,24423.72644842461,447271702.45,1995,1995-10-01,2.1122047244094486,51587.91039204647,944729403.0095471
1996Q1,20756,13064.992032183463,271176974.62,1996,1996-01-01,2.051625239005736,26804.467400636437,556353525.36761
1996Q2,6944,9032.191527937788,62719537.97,1996,1996-04-01,2.051625239005736,18530.67210225095,128676987.07803059
1996Q3,23671,13135.98418106544,310941881.55,1996,1996-07-01,2.051625239005736,26950.116685053952,637936212.0519121
1996Q4,16764,10933.457107492244,183288474.95,1996,1996-10-01,2.051625239005736,22431.35655131774,376039261.2262906
1997Q1,14586,15588.521297819829,227374171.65,1997,1997-01-01,2.005607476635514,31264.454864599396,456023338.65504676
1997Q2,16109,14338.196366627351,230974005.27,1997,1997-04-01,2.005607476635514,28756.793834375978,463243191.87796265
1997Q3,4642,9091.435062473072,42202441.56,1997,1997-07-01,2.005607476635514,18233.850134642256,84641532.32500935
1997Q4,2823,6725.738335104499,18986759.32,1997,1997-10-01,2.005607476635514,13489.191090779677,38079986.44927103
1998Q1,23194,8341.734305854963,193478185.49,1998,1998-01-01,1.974846625766871,16473.645846961426,382089741.7744233
1998Q2,6300,8962.066623809524,56461019.73,1998,1998-04-01,1.974846625766871,17698.707031928134,111501854.30114722
1998Q3,46497,9108.98844807192,423540635.87,1998,1998-07-01,1.974846625766871,17988.855100824236,836427795.6230245
1998Q4,7628,28062.90932092292,214063872.3,1998,1998-10-01,1.974846625766871,55419.94178162631,422743315.9102454
1999Q1,3575,8396.299362237762,30016770.22,1999,1999-01-01,1.932172869147659,16223.101828957595,57997589.038523406
1999Q2,5580,10480.98871326165,58483917.02,1999,1999-04-01,1.932172869147659,20251.082033606992,113001037.74752702
1999Q3,35502,14851.352842093404,527252728.6,1999,1999-07-01,1.932172869147659,28695.381031631852,1018743417.384994
1999Q4,23514,5922.724807348814,139266951.12,1999,1999-10-01,1.932172869147659,11443.728184187174,269087824.5229772
2000Q1,2394,6765.666675020885,16197006.02,2000,2000-01-01,1.8693379790940767,12647.317669507684,30277678.500801396
2000Q2,3545,10432.50480112835,36983229.52,2000,2000-04-01,1.8693379790940767,19501.877441830526,69134155.5312892
2000Q3,3646,8090.514188151399,29498014.73,2000,2000-07-01,1.8693379790940767,15123.905442310892,55141759.24266551
2000Q4,13662,12373.172690674866,169042285.3,2000,2000-10-01,1.8693379790940767,23129.641632568175,315997163.98414636
2001Q1,3553,6787.71503799606,24116751.53,2001,2001-01-01,1.8176171654432522,12337.467367198937,43835021.55565782
2001Q2,40380,28517.27586800396,1151527599.55,2001,2001-04-01,1.8176171654432522,51833.49012936462,2093036331.4237435
2001Q3,7625,9688.351453114754,73873679.83,2001,2001-07-01,1.8176171654432522,17609.713906028453,134274068.53346696
2001Q4,2934,9351.900371506475,27438475.69,2001,2001-10-01,1.8176171654432522,16998.1746447653,49872644.40774139
2002Q1,1762,8646.101089670829,15234430.12,2002,2002-01-01,1.7893274041133962,15470.70561848271,27259383.299766533
2002Q2,4581,7988.004588517791,36593049.02,2002,2002-04-01,1.7893274041133962,14293.155514418435,65476945.411550865
2002Q3,17224,12964.764605782628,223305105.57,2002,2002-07-01,1.7893274041133962,23198.20859700627,399565944.87483597
2002Q4,10945,14483.163325719506,158518222.6,2002,2002-10-01,1.7893274041133962,25915.121036960027,283640999.74952745
2003Q1,3448,7485.748810904872,25810861.9,2003,2003-01-01,1.7494565217391302,13095.992077338467,45154980.68266304
2003Q2,7690,12600.26908972692,96896069.3,2003,2003-04-01,1.7494565217391302,22043.622934690735,169515460.36777171
2003Q3,31025,18659.369657373085,578906943.62,2003,2003-07-01,1.7494565217391302,32643.755938632585,1012772527.996076
2003Q4,5683,13934.848953017772,79191746.6,2003,2003-10-01,1.7494565217391302,24378.412380306632,138542517.5572826
2004Q1,1669,7833.478681845417,13074075.92,2004,2004-01-01,1.7040762308099522,13348.84482628925,22279222.015076756
